Labels,Absorbance UY_AB_001,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

581.00,1.41675379E-2,
582.00,1.38406632E-2,
583.00,1.36256693E-2,
584.00,1.32981418E-2,
585.00,1.29515445E-2,
586.00,1.27069429E-2,
587.00,1.25393514E-2,
588.00,1.23318434E-2,
589.00,1.18948799E-2,
590.00,1.16593922E-2,
591.00,1.13825835E-2,
592.00,1.11429077E-2,
593.00,1.08001111E-2,
594.00,1.08902659E-2,
595.00,1.10384971E-2,
596.00,1.08051458E-2,
597.00,9.98536218E-3,
598.00,1.01209888E-2,
599.00,1.00410245E-2,
600.00,9.83699784E-3,
601.00,1.01438053E-2,
602.00,9.80154518E-3,
603.00,9.49765183E-3,
604.00,9.27178003E-3,
605.00,8.82043317E-3,
606.00,8.87726434E-3,
607.00,8.95443838E-3,
608.00,8.30941740E-3,
609.00,7.72878760E-3,
610.00,7.18703819E-3,
611.00,7.36778416E-3,
612.00,7.26369536E-3,
613.00,6.86740549E-3,
614.00,6.35161158E-3,
615.00,6.59304345E-3,
616.00,6.39160210E-3,
617.00,6.57087984E-3,
618.00,6.25666929E-3,
619.00,6.09894469E-3,
620.00,6.31380733E-3,
621.00,6.20597787E-3,
622.00,6.21179072E-3,
623.00,6.27500936E-3,
624.00,5.88044478E-3,
625.00,5.98907098E-3,
626.00,6.00118050E-3,
627.00,5.88182826E-3,
628.00,5.71724772E-3,
629.00,5.45002148E-3,
630.00,5.56268031E-3,
631.00,5.47084119E-3,
632.00,5.06435521E-3,
633.00,4.96376725E-3,
634.00,5.19483862E-3,
635.00,4.65151807E-3,
636.00,4.78093326E-3,
637.00,5.30888001E-3,
638.00,4.91208909E-3,
639.00,5.28868660E-3,
640.00,5.14474418E-3,
641.00,5.38072689E-3,
642.00,5.21285273E-3,
643.00,5.58311725E-3,
644.00,5.31813875E-3,
645.00,4.95268032E-3,
646.00,4.72783344E-3,
647.00,4.40228311E-3,
648.00,4.43349034E-3,
649.00,4.15377645E-3,
650.00,3.60816205E-3,
651.00,3.94961517E-3,
652.00,3.69878300E-3,
653.00,3.63513199E-3,
654.00,3.98589857E-3,
655.00,3.92680243E-3,
656.00,3.88241815E-3,
657.00,3.78524419E-3,
658.00,3.64554371E-3,
659.00,3.57879908E-3,
660.00,3.33903590E-3,
661.00,3.49905062E-3,
662.00,3.53811774E-3,
663.00,3.50166950E-3,
664.00,3.10357288E-3,
665.00,2.81840959E-3,
666.00,2.73263571E-3,
667.00,2.85143475E-3,
668.00,2.74537737E-3,
669.00,2.71267514E-3,
670.00,3.17171589E-3,
671.00,3.24118999E-3,
672.00,2.97464803E-3,
673.00,2.90816044E-3,
674.00,2.83487048E-3,
675.00,2.88038747E-3,
676.00,2.70426669E-3,
677.00,2.61050719E-3,
678.00,2.54742941E-3,
679.00,2.80913804E-3,
680.00,2.29806197E-3,
681.00,1.94519362E-3,
682.00,2.64984905E-3,
683.00,2.22873874E-3,
684.00,2.39255303E-3,
685.00,2.15399079E-3,
686.00,2.29850900E-3,
687.00,1.94681948E-3,
688.00,2.09832401E-3,
689.00,1.76623126E-3,
690.00,1.34403945E-3,
691.00,1.63112418E-3,
692.00,1.60892680E-3,
693.00,1.59544998E-3,
694.00,1.85925711E-3,
695.00,1.95619813E-3,
696.00,1.78074150E-3,
697.00,1.71949295E-3,
698.00,1.51621096E-3,
699.00,1.68173551E-3,
700.00,2.14798213E-3,
701.00,1.95898744E-3,
702.00,1.94993953E-3,
703.00,1.50519575E-3,
704.00,1.58686447E-3,
705.00,1.42943265E-3,
706.00,1.56861846E-3,
707.00,1.43419369E-3,
708.00,1.12926064E-3,
709.00,1.60577451E-3,
710.00,1.62225345E-3,
711.00,1.26697763E-3,
712.00,4.95014712E-4,
713.00,9.51222319E-4,
714.00,1.00728893E-3,
715.00,1.72766426E-3,
716.00,1.64676912E-3,
717.00,1.32934842E-3,
718.00,1.26677263E-3,
719.00,1.42926152E-3,
720.00,1.28513982E-3,
721.00,1.16671820E-3,
722.00,1.69425167E-3,
723.00,1.35126640E-3,
724.00,8.66159273E-4,
725.00,9.91001492E-4,
726.00,1.35760661E-3,
727.00,1.23562489E-3,
728.00,1.48642540E-3,
729.00,1.17201812E-3,
730.00,8.47785966E-4,
731.00,5.03755931E-4,
732.00,5.45690011E-4,
733.00,1.20065210E-3,
734.00,1.34684832E-3,
735.00,9.68261913E-4,
736.00,6.89477893E-4,
737.00,1.22219161E-3,
738.00,1.02365785E-3,
739.00,9.35757358E-4,
740.00,7.11299537E-4,
741.00,5.98020153E-4,
742.00,8.18539003E-4,
743.00,9.49744019E-4,
744.00,1.38397573E-3,
745.00,1.31891284E-3,
746.00,1.31710654E-3,
747.00,1.15598843E-3,
748.00,7.13704445E-4,
749.00,-5.20658272E-4,
750.00,-4.19260577E-5,
