Labels,Absorbance-UY-AB-002,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

646.00,3.48319707E-4,
647.00,3.78944736E-4,
648.00,4.42112418E-4,
649.00,4.41175798E-4,
650.00,2.96246959E-4,
651.00,3.62184743E-4,
652.00,2.58087850E-4,
653.00,4.34672955E-4,
654.00,5.26172924E-4,
655.00,5.25049632E-4,
656.00,3.26727139E-4,
657.00,-3.44165928E-5,
658.00,1.11792178E-4,
659.00,8.07808465E-5,
660.00,9.13412005E-5,
661.00,2.74123595E-5,
662.00,1.91518902E-5,
663.00,-1.78493603E-4,
664.00,-9.40921473E-6,
665.00,1.96633235E-4,
666.00,3.28723778E-4,
667.00,-6.33940118E-8,
668.00,1.10847948E-4,
669.00,1.50241358E-5,
670.00,-1.85352601E-5,
671.00,-9.31450559E-5,
672.00,-1.44217964E-4,
673.00,-1.70408457E-5,
674.00,1.16266688E-6,
675.00,-1.47163999E-4,
676.00,3.34000870E-5,
677.00,3.57478166E-6,
678.00,-2.65079929E-4,
679.00,-7.23787234E-5,
680.00,2.90385215E-4,
681.00,4.56352922E-4,
682.00,2.10831946E-4,
683.00,-7.12128385E-5,
684.00,-1.18982258E-4,
685.00,3.32938449E-4,
686.00,2.71558558E-4,
687.00,-2.51329096E-4,
688.00,-4.42147575E-4,
689.00,-3.53055511E-4,
690.00,-4.50236053E-4,
691.00,-6.96016068E-4,
692.00,-5.07201941E-4,
693.00,-7.69925944E-4,
694.00,-7.88509205E-4,
695.00,-8.32966703E-4,
696.00,-8.30972858E-4,
697.00,-1.06307585E-3,
698.00,-8.23998009E-4,
699.00,-5.57987601E-4,
700.00,-6.70919660E-4,
701.00,-9.16761754E-4,
702.00,-6.45548629E-4,
703.00,-7.62518262E-4,
704.00,-3.76590498E-4,
705.00,-6.87649590E-4,
706.00,-6.97305310E-4,
707.00,-3.60975537E-4,
708.00,-3.59984464E-4,
709.00,-3.86855594E-4,
710.00,-2.39042347E-4,
711.00,-6.44642569E-4,
712.00,-4.26194398E-4,
713.00,-8.23325943E-4,
714.00,-8.89291521E-4,
715.00,-7.54979090E-4,
716.00,-7.01719720E-4,
717.00,-8.77844694E-4,
718.00,-1.16193504E-3,
719.00,-1.56395871E-3,
720.00,-1.40690873E-3,
721.00,-1.26811804E-3,
722.00,-1.46823388E-3,
723.00,-1.28948491E-3,
724.00,-9.38884856E-4,
725.00,-9.33353789E-4,
726.00,-8.83970934E-4,
727.00,-1.41114590E-3,
728.00,-1.09421299E-3,
729.00,-7.71613326E-4,
730.00,-5.45393268E-4,
731.00,-9.45813081E-4,
732.00,-1.09939137E-3,
733.00,-1.18228968E-3,
734.00,-1.26645784E-3,
735.00,-1.73079607E-3,
736.00,-1.96642801E-3,
737.00,-1.52047374E-3,
738.00,-1.38783408E-3,
