Labels,Absorbance-UY-A001,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.99968487,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

678.00,-1.38597889E-3,
679.00,-8.60340602E-4,
680.00,-9.25624860E-4,
681.00,-3.10039992E-4,
682.00,-1.71931984E-3,
683.00,-1.05019624E-3,
684.00,-1.12979265E-3,
685.00,-8.61378969E-4,
686.00,-1.19439769E-3,
687.00,-1.00402953E-3,
688.00,-1.09960127E-3,
689.00,-1.03567250E-3,
690.00,6.96706004E-4,
691.00,4.48132778E-4,
692.00,-1.27942360E-4,
693.00,-4.53130546E-4,
694.00,-4.97460598E-4,
695.00,-9.81951016E-4,
696.00,-1.20251905E-3,
697.00,-1.63486949E-3,
698.00,-1.01141748E-3,
699.00,-1.68802054E-3,
700.00,-1.56674185E-3,
701.00,-1.54744892E-3,
702.00,-1.29320519E-3,
703.00,-1.22462539E-3,
704.00,-1.08158647E-3,
705.00,-1.05438405E-3,
706.00,-6.38125231E-4,
707.00,-5.95381018E-4,
708.00,-2.62670044E-4,
709.00,-3.14624660E-4,
710.00,-1.15244207E-3,
711.00,-7.31938635E-4,
712.00,-1.24360377E-3,
713.00,-9.27342218E-4,
714.00,-1.52956543E-3,
715.00,-1.80004851E-3,
716.00,-1.43928395E-3,
717.00,-1.50264602E-3,
718.00,-1.09247863E-3,
719.00,-1.96982990E-3,
720.00,-1.27701624E-3,
721.00,-1.10118650E-3,
722.00,-1.19288533E-3,
723.00,-9.54190909E-4,
724.00,-1.10362109E-3,
725.00,-6.36123936E-4,
726.00,-7.61659699E-4,
727.00,-6.02183165E-4,
728.00,-9.84763028E-4,
729.00,-1.34028448E-3,
730.00,-1.25832588E-3,
731.00,-1.29276759E-3,
732.00,-1.64356746E-3,
733.00,-1.31352025E-3,
734.00,-9.64772538E-4,
735.00,-3.74906638E-4,
736.00,-1.21982838E-3,
737.00,-1.75873132E-3,
738.00,-2.33141682E-3,
739.00,-1.75590592E-3,
740.00,-9.25147615E-4,
741.00,-1.48146192E-3,
742.00,-1.19549979E-3,
743.00,-1.19266252E-3,
744.00,-5.21050999E-4,
745.00,-1.40592526E-3,
746.00,-1.78738427E-3,
747.00,-1.65284646E-3,
748.00,-1.90445990E-3,
749.00,-2.35551246E-3,
750.00,-2.21114466E-3,
