Labels,ExScan-UY-AB-001,
Type,Excitation Scan,
Comment,,
Start,300.00,
Stop,690.00,
Step,1.00,
Fixed/Offset,700.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.500,
Detector,Detector 1,

593.00,2.00796875E+3,
594.00,1.85041724E+3,
595.00,2.47617017E+3,
596.00,1.43729529E+3,
597.00,1.71410303E+3,
598.00,1.42917981E+3,
599.00,6.29268555E+2,
600.00,1.17527380E+3,
601.00,1.15131628E+3,
602.00,8.51929749E+2,
603.00,7.34257446E+2,
604.00,4.30700287E+2,
605.00,5.56370056E+2,
606.00,5.89470520E+2,
607.00,7.46818237E+2,
608.00,3.74180115E+2,
609.00,9.06719482E+2,
610.00,3.44539978E+2,
611.00,1.56680954E+2,
612.00,6.27196594E+2,
613.00,6.28014374E+1,
614.00,5.65970459E+2,
615.00,4.41332184E+2,
616.00,2.52534119E+2,
617.00,2.21038864E+2,
618.00,4.74308105E+2,
619.00,3.80682220E+2,
620.00,1.91479095E+2,
621.00,5.14721924E+2,
622.00,-2.92684326E+2,
623.00,5.58227417E+2,
624.00,1.99096649E+2,
625.00,5.02119659E+2,
626.00,5.73979736E+2,
627.00,4.08025909E+2,
628.00,3.76456024E+2,
629.00,3.09345551E+2,
630.00,5.53350037E+2,
631.00,3.49098053E+1,
632.00,-3.52936096E+1,
633.00,4.64389282E+2,
634.00,0.00000000E+0,
635.00,2.93580231E+2,
636.00,4.46480988E+2,
637.00,-3.02339294E+2,
638.00,7.28790100E+2,
639.00,3.49998901E+2,
640.00,7.87830963E+1,
641.00,-7.90905914E+1,
642.00,1.96562988E+2,
643.00,0.00000000E+0,
644.00,0.00000000E+0,
645.00,2.65521240E+2,
646.00,3.71482330E+2,
647.00,-3.65247223E+2,
648.00,-3.98860779E+2,
649.00,3.63761177E+1,
650.00,4.81018951E+2,
651.00,7.49313431E+1,
652.00,3.76925354E+2,
653.00,7.55925903E+1,
654.00,-1.13527206E+2,
655.00,-7.57535095E+1,
656.00,1.89341370E+2,
657.00,-2.65083588E+2,
658.00,-3.78231354E+1,
659.00,1.88807114E+2,
660.00,-1.50598587E+2,
661.00,-2.25409912E+2,
662.00,-1.49810883E+2,
663.00,-1.49236664E+2,
664.00,-7.42470169E+1,
665.00,-1.47786362E+2,
666.00,7.35965118E+1,
667.00,7.35226364E+1,
668.00,-4.42174652E+2,
669.00,-1.84672653E+2,
670.00,-4.06707550E+2,
671.00,-2.95303101E+2,
672.00,2.21531479E+2,
673.00,-1.47679077E+2,
674.00,4.80858887E+2,
675.00,-1.11576454E+2,
676.00,-1.87052567E+2,
677.00,-2.25845764E+2,
678.00,-3.02101898E+2,
679.00,1.50704666E+2,
680.00,1.87552460E+2,
681.00,3.58383217E+1,
682.00,1.02662239E+2,
683.00,-1.04524101E+2,
684.00,2.13520935E+2,
685.00,-1.79403946E+2,
686.00,-3.57279549E+1,
687.00,1.41279221E+2,
688.00,-3.17086945E+2,
689.00,7.18639221E+1,
690.00,-2.22605362E+2,
