Labels,ExScan_UY_AB_001,
Type,Excitation Scan,
Comment,,
Start,300.00,
Stop,642.00,
Step,1.00,
Fixed/Offset,652.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.500,
Detector,Detector 1,

609.00,7.77951465E+3,
610.00,7.32198340E+3,
611.00,7.60828369E+3,
612.00,6.52851611E+3,
613.00,7.25179443E+3,
614.00,7.19396631E+3,
615.00,6.54170801E+3,
616.00,6.49599854E+3,
617.00,6.51120996E+3,
618.00,6.35086768E+3,
619.00,6.43143066E+3,
620.00,5.90764795E+3,
621.00,5.34916992E+3,
622.00,5.38497217E+3,
623.00,5.71446289E+3,
624.00,5.27522168E+3,
625.00,4.74706787E+3,
626.00,4.45282861E+3,
627.00,5.43856299E+3,
628.00,5.22308496E+3,
629.00,5.31959424E+3,
630.00,4.17938330E+3,
631.00,4.20024219E+3,
632.00,3.61334229E+3,
633.00,4.09423950E+3,
634.00,3.94448730E+3,
635.00,3.26717261E+3,
636.00,2.81926807E+3,
637.00,3.09257544E+3,
638.00,3.41829370E+3,
639.00,2.61937109E+3,
640.00,3.02484326E+3,
641.00,2.24207373E+3,
642.00,2.62336279E+3,
