Labels,EmScan_UY_AB_001,
Type,Emission Scan,
Comment,Range = [560.00 - 750.00] nm; Peak at 652.00 nm; FWHM = 47.55 nm; Color Coordinates (CIE 1931): x = 0.7059 y = 0.2940,
Start,400.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,350.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.00,
Detector,Detector 1,

665.00,4.37662469E+5,
666.00,4.27443406E+5,
667.00,4.10114781E+5,
668.00,3.95764781E+5,
669.00,3.90702563E+5,
670.00,3.70892063E+5,
671.00,3.58873781E+5,
672.00,3.48682125E+5,
673.00,3.34117125E+5,
674.00,3.16976188E+5,
675.00,3.05219594E+5,
676.00,2.92783625E+5,
677.00,2.75471313E+5,
678.00,2.63356563E+5,
679.00,2.49692031E+5,
680.00,2.37880875E+5,
681.00,2.26637484E+5,
682.00,2.19418953E+5,
683.00,2.05817547E+5,
684.00,1.92265281E+5,
685.00,1.84493000E+5,
686.00,1.73675719E+5,
687.00,1.66725266E+5,
688.00,1.49858391E+5,
689.00,1.44963203E+5,
690.00,1.35792422E+5,
691.00,1.24663711E+5,
692.00,1.20305961E+5,
693.00,1.12773555E+5,
694.00,1.06227102E+5,
695.00,9.75140391E+4,
696.00,9.19606406E+4,
697.00,8.82534844E+4,
698.00,8.08300703E+4,
699.00,7.56240000E+4,
700.00,7.17682656E+4,
701.00,6.60852813E+4,
702.00,6.21784063E+4,
703.00,5.70327266E+4,
704.00,5.63957422E+4,
705.00,5.52625430E+4,
706.00,4.81196094E+4,
707.00,4.50577305E+4,
708.00,4.10084453E+4,
709.00,3.86162500E+4,
710.00,3.51189414E+4,
711.00,3.41477461E+4,
712.00,3.26021719E+4,
713.00,3.02745723E+4,
714.00,3.01764824E+4,
715.00,2.67319277E+4,
716.00,2.54233398E+4,
717.00,2.38875293E+4,
718.00,2.23357871E+4,
719.00,2.09557793E+4,
720.00,2.05347891E+4,
721.00,1.90513027E+4,
722.00,1.72268457E+4,
723.00,1.65988008E+4,
724.00,1.56527461E+4,
725.00,1.55501445E+4,
726.00,1.48758555E+4,
727.00,1.50995918E+4,
728.00,1.25056660E+4,
729.00,1.26604258E+4,
730.00,1.06961123E+4,
731.00,1.05202471E+4,
732.00,1.03625029E+4,
733.00,1.03557988E+4,
734.00,9.13347559E+3,
735.00,1.00663779E+4,
736.00,8.00414600E+3,
737.00,7.56402441E+3,
738.00,7.75547607E+3,
739.00,7.32908740E+3,
740.00,7.17875293E+3,
741.00,7.95755371E+3,
742.00,7.21373779E+3,
743.00,7.13399561E+3,
744.00,6.35157422E+3,
745.00,5.91404980E+3,
746.00,6.24910498E+3,
747.00,6.18158105E+3,
748.00,5.11145557E+3,
749.00,4.03576440E+3,
750.00,4.84437012E+3,
