Labels,UY-AB-003 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

638.00,5.16570290E-4,
639.00,6.56464486E-4,
640.00,9.08961170E-4,
641.00,9.84319020E-4,
642.00,1.44485442E-3,
643.00,1.71205460E-3,
644.00,1.30291015E-3,
645.00,1.40834833E-3,
646.00,9.66628024E-4,
647.00,1.03672803E-3,
648.00,1.39113667E-3,
649.00,7.06772553E-4,
650.00,9.41046339E-4,
651.00,1.12318923E-3,
652.00,4.30830434E-4,
653.00,9.69222281E-4,
654.00,1.18518109E-3,
655.00,8.69057840E-4,
656.00,1.07686629E-3,
657.00,1.31761399E-3,
658.00,9.39524558E-4,
659.00,4.49900166E-4,
660.00,5.86866518E-4,
661.00,4.19896649E-4,
662.00,6.17577985E-4,
663.00,6.58771489E-4,
664.00,9.08795162E-4,
665.00,1.02456985E-3,
666.00,6.19347731E-4,
667.00,9.43604100E-4,
668.00,1.12557807E-3,
669.00,9.81097459E-4,
670.00,8.20653629E-4,
671.00,1.03648880E-3,
672.00,1.08416704E-3,
673.00,1.36260479E-3,
674.00,4.54731984E-4,
675.00,-1.52289969E-4,
676.00,3.36606390E-5,
677.00,-7.82462739E-5,
678.00,-1.16885940E-5,
679.00,3.35426506E-4,
680.00,4.84597840E-4,
681.00,7.53573084E-4,
682.00,2.02310010E-4,
683.00,5.78565989E-4,
684.00,1.86546356E-4,
685.00,2.15758337E-5,
686.00,-4.41503420E-4,
687.00,-8.52040015E-4,
688.00,-1.01253192E-3,
689.00,-1.19028031E-3,
690.00,-1.15508121E-3,
691.00,-5.60278771E-4,
692.00,-4.09961271E-4,
693.00,-4.70924831E-4,
694.00,1.75531066E-4,
695.00,3.13436176E-4,
696.00,3.82474333E-4,
697.00,4.54593275E-4,
698.00,6.18667633E-4,
699.00,7.52104097E-4,
700.00,1.02079194E-3,
701.00,8.39958317E-4,
702.00,6.70754875E-4,
703.00,7.36093265E-4,
704.00,1.05843274E-3,
705.00,7.73549837E-4,
706.00,5.82684879E-4,
707.00,6.91444729E-4,
708.00,7.21448334E-4,
709.00,6.48912566E-4,
710.00,3.37324571E-4,
711.00,2.55546911E-4,
712.00,1.86185949E-4,
713.00,-4.26622355E-5,
714.00,-8.94718539E-8,
715.00,1.02213504E-4,
716.00,-1.07610313E-5,
717.00,-1.89367100E-4,
718.00,-2.43939459E-4,
719.00,3.04745219E-4,
720.00,-1.89078526E-6,
721.00,1.19015313E-5,
722.00,-2.53789738E-4,
723.00,-1.57087725E-5,
724.00,-1.36158451E-5,
725.00,5.07238728E-4,
726.00,1.01468642E-3,
727.00,7.76005036E-4,
728.00,7.34955131E-4,
729.00,7.40164658E-4,
730.00,6.03025255E-4,
731.00,3.34212498E-4,
732.00,1.22946776E-5,
733.00,-6.62624097E-6,
734.00,2.32355407E-4,
735.00,6.51989903E-5,
736.00,-1.84671386E-4,
737.00,5.19869267E-4,
738.00,1.26370840E-4,
739.00,-2.03635660E-4,
740.00,-1.32276953E-4,
741.00,-3.47147172E-4,
742.00,-4.45567624E-4,
743.00,-1.91403538E-4,
744.00,-3.53566866E-4,
745.00,-2.67927942E-4,
746.00,-5.23347931E-4,
747.00,-6.27522822E-4,
748.00,-1.18297385E-3,
749.00,-4.24526661E-4,
750.00,-1.90478371E-4,
